Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Class
860.6,642.49,0.27,64,35,3,19,19,70,7,3,0.4,4,10,185.2,721.2,2.85,Red
934.67,696.5,0.32,69,35,3,21,24,75,7,3,0.44,4,12,203.65,786.57,2.81,Yellow
802.52,594.35,0.23,60,35,3,18,15,66,7,3,0.36,4,9,175.97,662.39,2.84,Red
830.57,622.53,0.25,62,35,3,18,17,68,7,3,0.39,4,9,175.96,697.23,2.96,Red
988.85,767.04,0.29,73,41,3,20,23,80,8,3,0.57,5,10,193.97,862.67,3.65,Green
932.75,710.68,0.25,69,41,3,20,19,76,8,3,0.53,5,10,193.97,793,2.87,Yellow
974.83,752.95,0.28,72,41,3,20,22,79,8,3,0.56,5,10,193.97,845.25,3.44,Red
1.00E+03,781.13,0.3,74,41,3,20,24,81,8,3,0.57,5,10,193.97,880.09,3.82,Red
960.8,738.86,0.27,71,41,3,20,21,78,8,3,0.55,5,10,193.97,827.84,3.23,Yellow
936.94,712.45,0.26,70,41,4,21,20,77,8,3,0.53,3,10,174.18,835.14,3.48,Green
952.94,718.32,0.27,71,41,4,22,21,78,8,3,0.53,3,11,183.41,841.69,3.28,Yellow
993,749.73,0.26,74,44,4,22,21,82,9,3,0.56,3,11,183.41,881.67,3.12,Green
920.9,687.5,0.21,69,44,4,21,16,77,9,3,0.52,3,10,174.18,805.44,2.95,Green
1.03E+03,798.45,0.27,76,44,3,20,23,84,9,3,0.59,5,10,193.97,902.65,3.39,Green
986.84,756.18,0.25,73,44,3,20,20,81,9,3,0.57,5,10,193.97,850.4,2.83,Green
1.01E+03,784.36,0.27,75,44,3,20,22,83,9,3,0.58,5,10,193.97,885.23,3.2,Yellow
1.04E+03,812.54,0.28,77,44,3,20,24,85,9,3,0.6,5,10,193.97,920.06,3.56,Yellow
1.00E+03,770.27,0.26,74,44,3,20,21,82,9,3,0.57,5,10,193.97,867.81,3.01,Green
999.18,751.95,0.29,71,33,0,20,22,76,6,4,0.47,5,13,231.58,828.02,2.03,Green
955.13,717.9,0.26,68,33,0,19,19,73,6,4,0.45,5,12,222.34,786.64,2.04,Yellow
1.04E+03,786,0.32,74,33,0,21,25,79,6,4,0.49,5,14,240.81,869.41,2.03,Yellow
976.15,730.73,0.32,70,38,0,18,24,76,7,3,0.38,4,13,204.82,812.06,2.52,Green
924.16,710.48,0.23,67,44,0,15,17,74,8,3,0.38,4,9,165.14,797.36,2.6,Green
1.02E+03,809.11,0.3,74,44,0,15,24,81,8,3,0.46,4,9,165.14,919.28,4.01,Red
994.3,780.93,0.28,72,44,0,15,22,79,8,3,0.44,4,9,165.14,884.45,3.52,Red
938.19,724.57,0.24,68,44,0,15,18,75,8,3,0.4,4,9,165.14,814.78,2.78,Green
932.09,696.68,0.29,67,38,0,17,21,73,7,3,0.36,4,12,195.59,770.67,2.53,Yellow
900.1,684.94,0.27,65,38,0,15,19,71,7,3,0.36,4,10,177.13,757.56,2.89,Yellow
928.15,713.12,0.29,67,38,0,15,21,73,7,3,0.38,4,10,177.13,792.39,3.24,Red
956.2,741.3,0.31,69,38,0,15,23,75,7,3,0.41,4,10,177.13,827.23,3.68,Red
920.33,691.98,0.2,67,44,1,17,15,75,9,4,0.52,3,10,184.25,747.55,2.82,Green
954.19,730.44,0.25,69,44,0,16,19,76,8,3,0.4,4,10,174.38,821.33,2.62,Green
970.19,736.31,0.26,70,44,0,17,20,77,8,3,0.4,4,11,183.61,827.88,2.58,Green
960.15,724.86,0.31,69,38,0,17,23,75,7,3,0.38,4,12,195.58,805.51,2.75,Green
990.17,744.82,0.32,71,38,0,18,25,77,7,3,0.4,4,13,204.82,829.48,2.54,Green
858.06,648.63,0.2,62,41,0,15,14,69,8,3,0.47,3,10,167.18,706.6,2.58,Green
844.04,634.54,0.19,61,41,0,15,13,68,8,3,0.46,3,10,167.18,689.18,2.74,Green
946.98,723.9,0.23,71,44,4,20,18,79,9,3,0.55,3,9,164.95,851.14,3.39,Green
932.95,709.81,0.22,70,44,4,20,17,78,9,3,0.54,3,9,164.95,833.72,3.22,Green
918.92,695.72,0.21,69,44,4,20,16,77,9,3,0.53,3,9,164.95,816.3,3.02,Yellow
976.15,730.73,0.32,70,38,0,18,24,76,7,3,0.38,4,13,204.82,812.06,2.54,Green
902.27,669.29,0.19,66,43,1,17,14,74,9,5,0.47,3,10,184.25,722.03,2.66,Green
848.07,643.14,0.21,61,41,0,15,14,68,8,3,0.5,3,10,167.18,697.28,2.71,Green
914.12,699.03,0.28,66,38,0,15,20,72,7,3,0.37,4,10,177.13,774.97,3.09,Green
928.15,713.12,0.29,67,38,0,15,21,73,7,3,0.38,4,10,177.13,792.39,3.27,Red
862.09,657.23,0.22,62,41,0,15,15,69,8,3,0.51,3,10,167.17,714.71,2.51,Green
1.11E+03,823.84,0.19,84,59,4,23,18,95,12,3,0.41,3,11,194.48,943.2,2.89,Red
912.88,682.82,0.18,69,47,4,20,14,77,9,3,0.41,3,9,164.95,797.13,3.45,Green
1.05E+03,785.95,0.18,79,53,5,23,16,89,11,4,0.57,3,10,185.26,916.62,3.22,Green
952.94,714.23,0.17,72,50,4,20,14,81,10,3,0.44,3,9,164.95,837.1,3.28,Yellow
